cluster_label,year,quarter,predicted_demand
27,2024,3,52
27,2024,4,64
28,2023,4,7
28,2024,1,29
28,2024,2,49
28,2024,3,37
28,2024,4,35
29,2023,4,0
29,2024,1,0
29,2024,2,0
29,2024,3,0
29,2024,4,0
3,2023,4,53
3,2024,1,313
3,2024,2,493
3,2024,3,218
3,2024,4,181
30,2023,4,64
30,2024,1,369
30,2024,2,580
30,2024,3,331
30,2024,4,200
31,2023,4,61
31,2024,1,378
31,2024,2,561
31,2024,3,365
31,2024,4,223
32,2023,4,0
32,2024,1,0
32,2024,2,0
32,2024,3,0
32,2024,4,0
33,2023,4,55
33,2024,1,330
33,2024,2,500
33,2024,3,222
33,2024,4,194
34,2023,4,56
34,2024,1,330
34,2024,2,493
34,2024,3,233
34,2024,4,188
35,2023,4,2
35,2024,1,2
35,2024,2,2
35,2024,3,2
35,2024,4,2
36,2023,4,52
36,2024,1,326
36,2024,2,453
36,2024,3,226
36,2024,4,171
37,2023,4,8
37,2024,1,32
37,2024,2,66
37,2024,3,90
37,2024,4,103
38,2023,4,53
38,2024,1,308
38,2024,2,488
38,2024,3,210
38,2024,4,181
39,2023,4,37
39,2024,1,216
39,2024,2,335
39,2024,3,149
39,2024,4,158
4,2023,4,65
4,2024,1,370
4,2024,2,578
4,2024,3,336
4,2024,4,201
40,2023,4,2
40,2024,1,2
40,2024,2,2
40,2024,3,2
40,2024,4,2
41,2023,4,70
41,2024,1,405
41,2024,2,503
41,2024,3,262
41,2024,4,200
42,2023,4,8
42,2024,1,24
42,2024,2,28
42,2024,3,28
42,2024,4,22
43,2023,4,48
43,2024,1,216
43,2024,2,350
43,2024,3,154
43,2024,4,156
44,2023,4,2
44,2024,1,2
44,2024,2,2
44,2024,3,2
44,2024,4,2
45,2023,4,16
45,2024,1,75
45,2024,2,328
45,2024,3,163
45,2024,4,135
46,2023,4,2
46,2024,1,2
46,2024,2,2
46,2024,3,2
46,2024,4,2
47,2023,4,24
47,2024,1,45
47,2024,2,145
47,2024,3,231
47,2024,4,115
48,2023,4,58
48,2024,1,328
48,2024,2,443
48,2024,3,249
48,2024,4,170
49,2023,4,125
49,2024,1,429
49,2024,2,425
49,2024,3,270
49,2024,4,193
5,2023,4,59
5,2024,1,340
5,2024,2,509
5,2024,3,210
5,2024,4,179
50,2023,4,22
50,2024,1,35
50,2024,2,122
50,2024,3,168
50,2024,4,143
51,2023,4,11
51,2024,1,35
51,2024,2,129
51,2024,3,184
51,2024,4,140
52,2023,4,63
52,2024,1,382
52,2024,2,553
52,2024,3,299
52,2024,4,207
53,2023,4,59
53,2024,1,345
53,2024,2,511
53,2024,3,213
53,2024,4,185
54,2023,4,2
54,2024,1,2
54,2024,2,2
54,2024,3,2
54,2024,4,2
55,2023,4,50
55,2024,1,222
55,2024,2,356
55,2024,3,163
55,2024,4,153
56,2023,4,38
56,2024,1,239
56,2024,2,348
56,2024,3,142
56,2024,4,162
57,2023,4,13
57,2024,1,58
57,2024,2,246
57,2024,3,137
57,2024,4,114
58,2023,4,18
58,2024,1,75
58,2024,2,337
58,2024,3,166
58,2024,4,130
59,2023,4,147
59,2024,1,469
59,2024,2,446
59,2024,3,290
59,2024,4,226
6,2023,4,62
6,2024,1,374
6,2024,2,572
6,2024,3,341
6,2024,4,200
60,2023,4,70
60,2024,1,398
60,2024,2,503
60,2024,3,257
60,2024,4,204
61,2023,4,56
61,2024,1,343
61,2024,2,507
61,2024,3,212
61,2024,4,183
62,2023,4,40
62,2024,1,237
62,2024,2,352
62,2024,3,160
62,2024,4,165
63,2023,4,67
63,2024,1,364
63,2024,2,552
63,2024,3,309
63,2024,4,196
64,2023,4,15
64,2024,1,35
64,2024,2,125
64,2024,3,177
64,2024,4,135
65,2023,4,2
65,2024,1,2
65,2024,2,2
65,2024,3,2
65,2024,4,2
66,2023,4,8
66,2024,1,25
66,2024,2,40
66,2024,3,38
66,2024,4,40
67,2023,4,9
67,2024,1,33
67,2024,2,107
67,2024,3,202
67,2024,4,151
68,2023,4,8
68,2024,1,32
68,2024,2,66
68,2024,3,79
68,2024,4,89
69,2023,4,41
69,2024,1,236
69,2024,2,351
69,2024,3,157
69,2024,4,169
7,2023,4,8
7,2024,1,46
7,2024,2,153
7,2024,3,197
7,2024,4,141
70,2023,4,0
70,2024,1,0
70,2024,2,0
70,2024,3,0
70,2024,4,0
71,2023,4,65
71,2024,1,384
71,2024,2,535
71,2024,3,251
71,2024,4,188
72,2023,4,7
72,2024,1,8
72,2024,2,4
72,2024,3,2
72,2024,4,2
73,2023,4,1
73,2024,1,1
73,2024,2,1
73,2024,3,1
73,2024,4,1
74,2023,4,134
74,2024,1,423
74,2024,2,435
74,2024,3,277
74,2024,4,211
75,2023,4,61
75,2024,1,378
75,2024,2,559
75,2024,3,358
75,2024,4,216
76,2023,4,8
76,2024,1,43
76,2024,2,152
76,2024,3,211
76,2024,4,139
77,2023,4,0
77,2024,1,0
77,2024,2,0
77,2024,3,0
77,2024,4,0
78,2023,4,67
78,2024,1,374
78,2024,2,581
78,2024,3,335
78,2024,4,200
79,2023,4,6
79,2024,1,26
79,2024,2,33
79,2024,3,32
79,2024,4,29
8,2023,4,55
8,2024,1,343
8,2024,2,521
8,2024,3,218
8,2024,4,184
80,2023,4,14
80,2024,1,35
80,2024,2,127
80,2024,3,178
80,2024,4,134
81,2023,4,16
81,2024,1,69
81,2024,2,349
81,2024,3,127
81,2024,4,63
82,2023,4,2
82,2024,1,2
82,2024,2,2
82,2024,3,2
82,2024,4,2
83,2023,4,60
83,2024,1,352
83,2024,2,496
83,2024,3,248
83,2024,4,165
84,2023,4,50
84,2024,1,221
84,2024,2,405
84,2024,3,247
84,2024,4,154
85,2023,4,18
85,2024,1,60
85,2024,2,294
85,2024,3,164
85,2024,4,127
86,2023,4,16
86,2024,1,48
86,2024,2,156
86,2024,3,181
86,2024,4,122
87,2023,4,15
87,2024,1,71
87,2024,2,335
87,2024,3,166
87,2024,4,123
88,2023,4,53
88,2024,1,319
88,2024,2,443
88,2024,3,240
88,2024,4,162
89,2023,4,12
89,2024,1,45
89,2024,2,149
89,2024,3,196
89,2024,4,134
9,2023,4,53
9,2024,1,317
9,2024,2,450
9,2024,3,246
9,2024,4,167
90,2023,4,0
90,2024,1,0
90,2024,2,0
90,2024,3,0
90,2024,4,0
91,2023,4,5
91,2024,1,9
91,2024,2,8
91,2024,3,4
91,2024,4,7
92,2023,4,45
92,2024,1,219
92,2024,2,392
92,2024,3,244
92,2024,4,158
93,2023,4,68
93,2024,1,388
93,2024,2,542
93,2024,3,282
93,2024,4,196
94,2023,4,44
94,2024,1,229
94,2024,2,354
94,2024,3,161
94,2024,4,155
95,2023,4,3
95,2024,1,2
95,2024,2,2
95,2024,3,2
95,2024,4,2
96,2023,4,62
96,2024,1,344
96,2024,2,451
96,2024,3,256
96,2024,4,179
97,2023,4,56
97,2024,1,344
97,2024,2,510
97,2024,3,213
97,2024,4,185
98,2023,4,12
98,2024,1,31
98,2024,2,60
98,2024,3,85
98,2024,4,95
99,2023,4,32
99,2024,1,106
99,2024,2,278
99,2024,3,149
99,2024,4,155
