cluster_label,year,quarter,num_sales,sentiment_score,rating
1,2015,3,8,3.6125,2.75
1,2015,4,37,4.15945945945946,3.945945945945946
1,2016,1,138,4.122463768115942,3.869565217391304
1,2016,2,535,4.048411214953271,3.661682242990654
1,2016,3,842,4.08729216152019,3.704275534441805
1,2016,4,702,4.117806267806268,3.7393162393162394
1,2017,1,995,4.077788944723618,3.6864321608040203
1,2017,2,2030,4.102955665024631,3.6655172413793102
1,2017,3,2298,4.111357702349869,3.7193211488250655
1,2017,4,1311,4.098932112890923,3.791762013729977
1,2018,1,1361,4.145701689933873,3.8383541513592947
1,2018,2,2259,4.151792828685259,3.7498893315626383
1,2018,3,2085,4.152086330935252,3.789928057553957
1,2018,4,1250,4.154319999999999,3.8352
1,2019,1,1133,4.151015004413063,3.823477493380406
1,2019,2,2136,4.192322097378277,3.929307116104869
1,2019,3,2269,4.220185103569855,3.8907007492287353
1,2019,4,1222,4.136988543371522,3.8199672667757776
1,2020,1,983,4.162156663275686,3.9471007121057986
1,2020,2,558,4.1476702508960575,3.8763440860215055
1,2020,3,840,4.196309523809524,3.8904761904761904
1,2020,4,402,4.178358208955224,3.855721393034826
1,2021,1,439,4.1070615034168565,3.8428246013667424
1,2021,2,863,4.055851680185399,3.6709154113557356
1,2021,3,769,4.095838751625488,3.6514954486345905
1,2021,4,370,3.9510810810810812,3.4702702702702704
1,2022,1,247,3.782591093117409,3.2712550607287447
1,2022,2,396,3.9906565656565656,3.5277777777777777
1,2022,3,302,3.98841059602649,3.433774834437086
1,2022,4,136,3.9191176470588234,3.551470588235294
1,2023,1,77,4.0,3.5584415584415585
1,2023,2,25,4.02,4.2
1,2023,3,8,3.3000000000000003,2.75
2,2002,3,0,0.0,0.0
2,2002,4,0,0.0,0.0
2,2003,1,0,0.0,0.0
2,2003,2,0,0.0,0.0
2,2003,3,0,0.0,0.0
2,2003,4,0,0.0,0.0
2,2004,1,0,0.0,0.0
2,2004,2,0,0.0,0.0
2,2004,3,0,0.0,0.0
2,2004,4,0,0.0,0.0
2,2005,1,0,0.0,0.0
2,2005,2,0,0.0,0.0
2,2005,3,0,0.0,0.0
2,2005,4,0,0.0,0.0
2,2006,1,0,0.0,0.0
2,2006,2,0,0.0,0.0
2,2006,3,0,0.0,0.0
2,2006,4,0,0.0,0.0
2,2007,1,0,0.0,0.0
2,2007,2,0,0.0,0.0
2,2007,3,0,0.0,0.0
2,2007,4,1,3.6,5.0
2,2008,1,0,0.0,0.0
2,2008,2,1,1.9,2.0
2,2008,3,0,0.0,0.0
2,2008,4,0,0.0,0.0
2,2009,1,2,4.85,4.5
2,2009,2,0,0.0,0.0
2,2009,3,0,0.0,0.0
2,2009,4,1,4.6,3.0
2,2010,1,1,3.6,4.0
